"id","url","name","seasonId","number","airstamp","runtime","image_medium","image_original","summary"
"673","http://www.tvmaze.com/episodes/40673/friends-2x04-the-one-with-phoebes-husband","The One With Phoebe's Husband","2","4","1995-10-12T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59130.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59130.jpg","Phoebe's secret husband shows up; Rachel tries to distract Ross from having sex with Julie."
"674","http://www.tvmaze.com/episodes/40674/friends-2x05-the-one-with-five-steaks-and-an-eggplant","The One With Five Steaks and an Eggplant","2","5","1995-10-19T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59131.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59131.jpg","Chandler receives a sexy phone call meant for someone else; the gang becomes divided along income lines."
"675","http://www.tvmaze.com/episodes/40675/friends-2x06-the-one-with-the-baby-on-the-bus","The One With the Baby on the Bus","2","6","1995-11-02T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59132.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59132.jpg","An allergic reaction sends Ross to the hospital, leaving Chandler and 
Joey to look after Ben; Central Perk hires another singer to replace Phoebe."
"676","http://www.tvmaze.com/episodes/40676/friends-2x07-the-one-where-ross-finds-out","The One Where Ross Finds Out","2","7","1995-11-09T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59133.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59133.jpg","Rachel goes on a date in an effort to forget about Ross; Monica presses Chandler to complete an exercise program."
"677","http://www.tvmaze.com/episodes/40677/friends-2x08-the-one-with-the-list","The One With the List","2","8","1995-11-16T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59134.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59134.jpg","Ross is torn between Rachel and Julie, so Chandler prompts him to list 
each woman's pros and cons; Monica concocts recipes for a new product."
"678","http://www.tvmaze.com/episodes/40678/friends-2x09-the-one-with-phoebes-dad","The One With Phoebe's Dad","2","9","1995-12-14T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59270.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59270.jpg","Phoebe confronts her grandmother about the father she never knew; things heat up at Monica's holiday party."
"679","http://www.tvmaze.com/episodes/40679/friends-2x10-the-one-with-russ","The One With Russ","2","10","1996-01-04T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59135.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59135.jpg","Rachel dates a guy who's similar to Ross; Joey can get a part if he 
sleeps with the casting director; Fun Bobby is no fun without alcohol."
"680","http://www.tvmaze.com/episodes/40680/friends-2x11-the-one-with-the-lesbian-wedding","The One With the Lesbian Wedding","2","11","1996-01-18T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59275.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59275.jpg","Rachel's mother considers ending her marriage; Carol 
decides to marry her lover, Susan; Phoebe believes she's possessed."
"681","http://www.tvmaze.com/episodes/40681/friends-2x12-the-one-after-the-superbowl-1","The One After the Superbowl (1)","2","12","1996-01-28T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59138.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59138.jpg","Ross searches for Marcel; Joey is attracted to an obsessed fan; Phoebe sings songs for kids."
"682","http://www.tvmaze.com/episodes/40682/friends-2x13-the-one-after-the-superbowl-2","The One After the Superbowl (2)","2","13","1996-01-28T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59136.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59136.jpg","Ross learns Marcel is working on a movie, and the film's makeup artist 
seems to want Chandler; Monica and Rachel fight over Jean-Claude Van 
Damme, who appears as himself."
"683","http://www.tvmaze.com/episodes/40683/friends-2x14-the-one-with-the-prom-video","The One With the Prom Video","2","14","1996-02-01T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/23/59276.jpg","http://static.tvmaze.com/uploads/images/original_untouched/23/59276.jpg","Monica brings some things home from her parents' house, including a prom
 video; Rachel tells Ross that she doesn't think it will work out 
between them."
